Place,Bib,Name,Time,Gender
433,56918,Mthoko KHUZWAYO,07:09:47,Male
434,59370,Ssali GADAFI,07:09:48,Male
435,11203,Justice NKOSI,07:09:59,Male
436,28492,Thanda MTHEMBU,07:09:59,Male
437,10913,Bongani JELE,07:10:07,Male
438,31518,Rene KALMER,07:10:08,Female
439,46707,Stephen MANGURUMA,07:10:08,Male
440,30062,Kate REES,07:10:09,Female
441,33076,David THUO,07:10:09,Male
442,57967,Lebogang MOOKETSI,07:10:10,Male
443,34439,Mtshali LAWRENCE,07:10:13,Male
444,29367,Steven SCHLESS,07:10:14,Male
445,47615,Jon HAGER,07:10:16,Male
446,57720,Raymond SEDIBANA,07:10:23,Male
447,58946,Tshepo MAMORARE,07:10:23,Male
448,42102,Sthembiso NHLENYAMA,07:10:33,Male
449,21815,Tembinkosi SOJOLA,07:10:35,Male
450,19167,Lucky MORAJANE,07:10:38,Male
451,26754,Bhekisisa LUTHULI,07:10:39,Male
452,26147,Vusumuzi LANGA,07:10:46,Male
453,46083,Siphiwe HLOPHE,07:10:56,Male
454,45036,Julien NISON,07:11:00,Male
455,43622,Sarah SILBER,07:11:03,Female
456,51372,Michael COLLINS,07:11:03,Male
457,14738,Vladimir PEREVOZKIN,07:11:03,Male
458,46665,Norman MOYO,07:11:05,Male
459,18178,Mkhaliseni NDWALANE,07:11:08,Male
460,51541,Annalise SCHOLTZ,07:11:11,Female
461,27566,Anele MALIZA,07:11:12,Male
462,12661,Bongani Gordon SAMBO,07:11:13,Male
463,50824,Philani MBATHA,07:11:15,Male
464,35180,Maxwell Tafadzwa CHIRO,07:11:15,Male
465,50358,Claude EKSTEEN,07:11:21,Male
466,55108,Sthembiso Patrick KHULUSE,07:11:25,Male
467,51819,Sandile MTOLO,07:11:30,Male
468,57412,Leonard LOWOLE,07:11:31,Male
469,36421,Graham ESHMADE,07:11:32,Male
470,25574,Lindelani Ian Khulekani NGCOBO,07:11:38,Male
